dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,optimized_RF,strategy_RF,config_RF,baseline_KNN,optimized_KNN,strategy_KNN,config_KNN,baseline_NB,optimized_NB,strategy_NB,config_NB
adult-income-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,,,Draw,{},,,Draw,{},,,Draw,{}
alhassanabdelglil_classification__Dataset_for_Classification.csv,1470,33,0,0,0.9999999999999795,0.0,0.0,0.24242424242424243,0.7575757575757576,913.1400544217687,1666.938044057189,0.5346378016337747,0.14912164382509102,0.002993197278911565,1.4763706609557183,2.301499484847356,0.31580182361981174,32,0,0.09090909090909091,0.009836044675200637,,,Draw,{},,,Draw,{},,,Draw,{}
burak3ergun_loan-data-set__loan_data_set.csv,614,13,149,0,0.9813329992481857,0.3076923076923077,0.0,0.6153846153846154,0.07692307692307693,1502.7918884316891,2693.3730667667496,6.998371623619912,72.14770844976361,0.013029315960912053,1.1222558223462458,6.41999492814714,2.4291239237217117,13,0,0.07692307692307693,0.09217967255358811,,,Draw,{},,,Draw,{},,,Draw,{}
alamjane61_titanic-train__train.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,,,Draw,{},,,Draw,{},,,Draw,{}
cities_titanic123__ChanDarren_RaiTaran_Lab2a.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,,,Draw,{},,,Draw,{},,,Draw,{}
chiranjeevbit_bank-details__bank.csv,10000,21,0,0,0.9999999999999953,0.23809523809523808,0.0,0.47619047619047616,0.2857142857142857,589.5779608636363,90.03266926717417,0.7844270827957072,10.347645417792608,0.009945454545454547,1.0343082582574592,2.063685572803328,0.3494385395447836,21,0,0.0,0.050866506132889594,,,Draw,{},,,Draw,{},,,Draw,{}
ajay1735_hmeq-data__hmeq.csv,5960,13,5271,0,0.9319695405265754,0.6923076923076923,0.0,0.15384615384615385,0.15384615384615385,17671.88089620871,20569.316411611657,1.7636046903757538,3.5937991526207664,0.012812690665039657,1.0179245928732326,1.7496063783904616,0.23974231306487143,13,0,0.07692307692307693,0.07280437263006842,,,Draw,{},,,Draw,{},,,Draw,{}
adult-census-income__adult.csv,10000,15,0,2,0.9999999999999934,0.0,0.0,0.6,0.4,32271.305999999997,41913.786838404485,1.7247216498610414,9.286060659777037,0.010566666666666669,1.1922759975523616,2.4008352326817346,0.3699172311457278,15,0,0.0,0.07182847851797629,,,Draw,{},,,Draw,{},,,Draw,{}
agirusampath_adult-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,,,Draw,{},,,Draw,{},,,Draw,{}
bank-marketing__bank.csv,10000,17,0,0,0.9999999999999942,0.0,0.0,0.5882352941176471,0.4117647058823529,292.37867142857147,1177.7361988207583,3.7969362306039107,44.65953797519295,0.014,0.9915229850635389,2.2814264505328423,0.4742873000133494,17,0,0.0,0.07297166365248059,,,Draw,{},,,Draw,{},,,Draw,{}
anuragmishra2311_restaurant-reviews__Restaurant_Reviews.csv,1000,2,0,4,0.9999999999995,0.0,0.0,0.5,0.5,0.5,,0.0,-2.0,0.0,3.7976786410488,6.902210101537655,9.63811558916506,2,0,0.5,-0.013344145083240498,,,Draw,{},,,Draw,{},,,Draw,{}
birds-bones-and-living-habits__bird.csv,420,12,15,0,0.9970238095236116,0.8333333333333334,0.0,0.08333333333333333,0.08333333333333333,45.575650516694196,37.1506628946143,0.0,-1.2000136055193056,0.014285714285714285,1.5801458473562358,2.1971734341399576,0.06613953844942384,12,0,0.5,0.0542916348203128,,,Draw,{},,,Draw,{},,,Draw,{}
churn-in-telecoms-dataset__bigml_59c28831336c6604c800002a.csv,3333,21,0,0,0.9999999999999857,0.38095238095238093,0.0,0.19047619047619047,0.38095238095238093,94.02254594209421,19.975893826034962,0.261615292136843,0.35571743680267853,0.004106660666066606,1.8724070604679544,8.111628078307735,2.477656238994259,21,0,0.047619047619047616,0.052555768436865505,,,Draw,{},,,Draw,{},,,Draw,{}
bank-marketing-dataset__bank.csv,10000,17,0,0,0.9999999999999942,0.0,0.0,0.5882352941176471,0.4117647058823529,292.37867142857147,1177.7361988207583,3.7969362306039107,44.65953797519295,0.014,0.9915229850635389,2.2814264505328423,0.4742873000133494,17,0,0.0,0.07297166365248059,,,Draw,{},,,Draw,{},,,Draw,{}
braindeadcoder_advertising__advertising.csv,1000,10,0,0,0.9999999999999,0.3,0.0,0.4,0.3,9213.665063333334,5470.8469199344145,-0.08326812341672925,-1.145399413789888,0.0003333333333333333,3.608955833165736,6.907755278982134,6.083804067545854,10,0,0.5,0.0007021936713632554,,,Draw,{},,,Draw,{},,,Draw,{}
aashnaprasad_heart-disease-detection-dataset__datasets_33180_43520_heart.csv,303,14,0,1,0.9999999999997642,0.07142857142857142,0.0,0.0,0.9285714285714286,42.18434700612919,14.601099749666268,0.36373659745345177,0.08548267029100379,0.003771805752003772,1.1162379625577574,1.896440728650816,0.2214082934413397,14,0,0.0,0.021817852305447395,,,Draw,{},,,Draw,{},,,Draw,{}
birdy654_eeg-brainwave-dataset-feeling-emotions__emotions.csv,2132,2549,0,0,0.9999999999999998,0.9996076892899176,0.0,0.00039231071008238524,0.0,3698733411117.9688,2230328020438364.2,0.584313648175943,141.53916540753116,0.016108171512218685,0.8899124556919025,2.0684718258008092,0.2161848763325663,2549,0,0.0,0.10465817192328646,,,Draw,{},,,Draw,{},,,Draw,{}
bbyclub_hearth-disease__heart.csv,303,14,0,1,0.9999999999997642,0.07142857142857142,0.0,0.0,0.9285714285714286,42.18434700612919,14.601099749666268,0.36373659745345177,0.08548267029100379,0.003771805752003772,1.1162379625577574,1.896440728650816,0.2214082934413397,14,0,0.0,0.021817852305447395,,,Draw,{},,,Draw,{},,,Draw,{}
alihussain1993_lower-back-pain-symptoms-datasetlabelled__Dataset_spine.csv,310,13,0,0,0.9999999999997519,0.9230769230769231,0.0,0.07692307692307693,0.0,31.293896624736018,9.713650963472416,0.5675770349494577,2.9405187565064135,0.003494623655913978,1.77236046825974,2.193503449849837,0.26073401330836404,13,0,0.9230769230769231,0.03334006060278727,,,Draw,{},,,Draw,{},,,Draw,{}
braindeadcoder_lending-club-data__loan_data.csv,9578,14,0,0,0.9999999999999927,0.42857142857142855,0.0,0.07142857142857142,0.5,1736.7612149862882,9323.193678969577,2.23541540290617,30.674827981044555,0.011219621889907962,1.2004248448285202,2.17309027144061,0.6383508602632357,14,0,0.0,0.05237872548943931,,,Draw,{},,,Draw,{},,,Draw,{}
adammaus_predicting-churn-for-bank-customers__Churn_Modelling.csv,10000,14,0,0,0.9999999999999929,0.14285714285714285,0.0,0.21428571428571427,0.6428571428571429,1443019.5105880909,29887.788580147335,0.18795009617779035,-0.7000423538481398,0.0018272727272727273,1.8863003426782805,7.434633869260355,2.842906237353707,14,0,0.21428571428571427,-0.004602665266873364,,,Draw,{},,,Draw,{},,,Draw,{}
altruistdelhite04_loan-prediction-problem-dataset__train_u6lujuX_CVtuZ9i.csv,614,13,149,0,0.9813329992481857,0.3076923076923077,0.0,0.6153846153846154,0.07692307692307693,1502.7918884316891,2693.3730667667496,6.998371623619912,72.14770844976361,0.013029315960912053,1.1222558223462458,6.41999492814714,2.4291239237217117,13,0,0.07692307692307693,0.09217967255358811,,,Draw,{},,,Draw,{},,,Draw,{}
avhikj_churn-predictions-personal__Churn_Predictions.csv,10000,14,0,0,0.9999999999999929,0.14285714285714285,0.0,0.21428571428571427,0.6428571428571429,1443019.5105880909,29887.788580147335,0.18795009617779035,-0.7000423538481398,0.0018272727272727273,1.8863003426782805,7.434633869260355,2.842906237353707,14,0,0.21428571428571427,-0.004602665266873364,,,Draw,{},,,Draw,{},,,Draw,{}
chirin_africa-economic-banking-and-systemic-crisis-data__african_crises.csv,1059,14,0,0,0.9999999999999325,0.21428571428571427,0.0,0.21428571428571427,0.5714285714285714,2081.520818771125,203734.34267286584,5.050234893208455,105.57941065672095,0.016052880075542966,0.8923359779002019,2.522108934825158,0.8183859397597822,14,0,0.07142857142857142,0.060309955382044034,,,Draw,{},,,Draw,{},,,Draw,{}
chandanabhatt_credit-card__cc_approvals.csv,689,16,0,0,0.9999999999999093,0.125,0.0,0.75,0.125,257.0636502177068,2604.6727823293722,5.651731719342438,69.12977599091782,0.015965166908563134,1.3388831790924798,5.670366295519993,2.0993250548140434,16,0,0.0,0.08495411345915851,,,Draw,{},,,Draw,{},,,Draw,{}
ankitshandilya_silhouette-of-vehicles-dataset__vehicle.csv,846,19,41,0,0.9974492970013066,0.7368421052631579,0.0,0.05263157894736842,0.21052631578947367,117.60944669752023,39.942033123129434,1.7942320471484288,13.97409379988045,0.002889414236931967,1.8059513530409068,2.191077339723044,0.16898086942348178,19,0,0.0,0.04761991352734592,,,Draw,{},,,Draw,{},,,Draw,{}
affablekarthik_titanic-survival-prediction__titanic_data.csv,891,9,177,0,0.9779274223717448,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,1.7459507287777167,6.792344427470811,3.504352429156937,9,0,0.2222222222222222,0.036308274911854586,,,Draw,{},,,Draw,{},,,Draw,{}
blastchar_telco-customer-churn__WA_Fn-UseC_-Telco-Customer-Churn.csv,7043,21,0,0,0.9999999999999933,0.047619047619047616,0.0,0.8571428571428571,0.09523809523809523,32.43166264375976,15.806902774781191,0.6174178213844754,-0.42789361107119545,0.0,1.7454457614131493,8.859789494745414,5.444445894969662,21,0,0.09523809523809523,-0.01787445836134494,,,Draw,{},,,Draw,{},,,Draw,{}
ashishs0ni_iris-dataset__Iris.csv,150,6,0,0,0.9999999999988889,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,17.870933333333333,19.012151525971746,0.05336005096729103,-0.852567253444062,0.0013333333333333335,1.71451976799506,2.079172448034681,0.0934105607678493,6,0,0.16666666666666666,0.02299797515270224,,,Draw,{},,,Draw,{},,,Draw,{}
ashutosh94_titanic-dataset__titanictrain.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,,,Draw,{},,,Draw,{},,,Draw,{}
baguskurniawanadhi_iklancsv__Iklan_sosmed.csv,400,5,0,0,0.9999999999995,0.0,0.0,0.2,0.8,3940330.0675,34160.86083047824,0.320978364486412,-0.9686190747036428,0.0,1.5451938879687002,2.1921160771375323,0.5095754664168591,5,0,0.2,-0.0010536312080685738,,,Draw,{},,,Draw,{},,,Draw,{}
annatshngryan_heart-csv__heart.csv,303,14,0,1,0.9999999999997642,0.07142857142857142,0.0,0.0,0.9285714285714286,42.18434700612919,14.601099749666268,0.36373659745345177,0.08548267029100379,0.003771805752003772,1.1162379625577574,1.896440728650816,0.2214082934413397,14,0,0.0,0.021817852305447395,,,Draw,{},,,Draw,{},,,Draw,{}
bluepanda98_users-of-a-social-network-who-bought-an-suv__Social_Network_Ads.csv,400,5,0,0,0.9999999999995,0.0,0.0,0.2,0.8,3940955.0675,42726.13748199858,1.4668397809062963,12.939248077583997,0.000625,1.2478655309479105,2.124305954309322,0.47849545071986543,5,0,0.2,0.009394911034369775,,,Draw,{},,,Draw,{},,,Draw,{}
