dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,optimized_RF,strategy_RF,config_RF,baseline_KNN,optimized_KNN,strategy_KNN,config_KNN,baseline_NB,optimized_NB,strategy_NB,config_NB
amanwadhwa_wine-quality-from-chemical-properties__winequality.csv,1599,12,0,240,0.9999999999999478,0.9166666666666666,0.0,0.0,0.08333333333333333,7.926036165311653,9.521897457645458,1.559539907411162,7.613499725911218,0.010006253908692935,1.4709072007618464,1.8536091349311559,0.10325190548067979,12,0,0.0,0.0708772533171589,,,Draw,{},,,Draw,{},,,Draw,{}
aljarah_xAPI-Edu-Data__xAPI-Edu-Data.csv,480,17,0,2,0.9999999999998774,0.0,0.0,0.7647058823529411,0.23529411764705882,45.69375,2.958765095037915,0.11124040125854498,-1.276953457092037,0.0,1.3372220068206826,2.3419366196460647,0.4052844747228881,17,0,0.0,0.00582354032905296,,,Draw,{},,,Draw,{},,,Draw,{}
analyze-helpdesk-tickets__WA_Fn-UseC_-IT-Help-Desk.csv,10000,10,0,0,0.99999999999999,0.0,0.0,0.6,0.4,1507.5501499999998,1369.7242408450325,0.35720947621608246,-0.37140630979827205,0.00475,1.46403935911986,2.3025850929940455,0.4078317214388907,10,0,0.1,-0.0062728704052652465,,,Draw,{},,,Draw,{},,,Draw,{}
absenteeismatwork__Absenteeism_at_work.csv,740,15,0,34,0.9999999999999098,0.06666666666666667,0.0,0.0,0.9333333333333333,50.067186846846845,18.050799041232516,0.8264917045729113,3.453891184358942,0.0081981981981982,1.5969565481394208,2.2567679487624175,0.4000605058895534,15,0,0.0,0.01998751577875512,,,Draw,{},,,Draw,{},,,Draw,{}
antoine62_hired__data_v1.0.csv,10000,13,486,0,0.9962615384615308,0.3076923076923077,0.0,0.46153846153846156,0.23076923076923078,6438.964955791496,2032.079272324755,0.7829921315268816,0.3725633514323617,0.0016285714285714287,1.8639084105342876,7.411081176822168,2.884592193300004,13,1,0.15384615384615385,0.03759548338493365,,,Draw,{},,,Draw,{},,,Draw,{}
abalone-dataset__abalone.csv,4177,9,0,0,0.9999999999999735,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,1.576576041417285,1.0870017828011014,0.6818404482316658,9.932008017979111,0.0059851568111084505,1.5492995158153902,1.9038079238296417,0.17160744871662453,9,0,0.0,0.04889968011167162,,,Draw,{},,,Draw,{},,,Draw,{}
abhinavralhan_titanic__train.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,,,Draw,{},,,Draw,{},,,Draw,{}
car-evaluation-data-set__car_evaluation.csv,1727,7,0,0,0.9999999999999173,0.0,0.0,1.0,0.0,,,,,,1.1843929877103254,1.38629385799666,0.0379601983489898,7,0,0.0,,,,Draw,{},,,Draw,{},,,Draw,{}
becksddf_churn-in-telecoms-dataset__bigml_59c28831336c6604c800002a.csv,3333,21,0,0,0.9999999999999857,0.38095238095238093,0.0,0.19047619047619047,0.38095238095238093,94.02254594209421,19.975893826034962,0.261615292136843,0.35571743680267853,0.004106660666066606,1.8724070604679544,8.111628078307735,2.477656238994259,21,0,0.047619047619047616,0.052555768436865505,,,Draw,{},,,Draw,{},,,Draw,{}
advertising__advertising.csv,1000,10,0,0,0.9999999999999,0.3,0.0,0.4,0.3,9213.665063333334,5470.8469199344145,-0.08326812341672925,-1.145399413789888,0.0003333333333333333,3.608955833165736,6.907755278982134,6.083804067545854,10,0,0.5,0.0007021936713632554,,,Draw,{},,,Draw,{},,,Draw,{}
chengjhj_patient-survey-score-with-demographics__pxdata.csv,950,20,8,0,0.9995789473683684,0.05,0.0,0.5,0.45,59.48488793712672,85.29731536180132,-0.262730022797425,0.981059324007554,0.005578947368421053,1.2715533713544978,5.684800982578015,1.3258783295664978,20,1,0.05,0.014920866514671149,,,Draw,{},,,Draw,{},,,Draw,{}
barun2104_telecom-churn__telecom_churn.csv,3333,11,0,0,0.9999999999999728,0.45454545454545453,0.0,0.0,0.5454545454545454,41.96122303139404,18.618390319536676,0.26677440860632673,0.8165944636188468,0.011619343752557071,1.3491816214686434,1.9198532076384305,0.3627102383677509,11,0,0.0,0.04743801277528323,,,Draw,{},,,Draw,{},,,Draw,{}
akram24_social-network-ads__Social_Network_Ads.csv,400,5,0,0,0.9999999999995,0.0,0.0,0.2,0.8,3940330.0675,34160.86083047824,0.320978364486412,-0.9686190747036428,0.0,1.5451938879687002,2.1921160771375323,0.5095754664168591,5,0,0.2,-0.0010536312080685738,,,Draw,{},,,Draw,{},,,Draw,{}
cherngs_heart-disease-cleveland-uci__heart_cleveland_upload.csv,297,14,0,0,0.9999999999997594,0.07142857142857142,0.0,0.0,0.9285714285714286,42.22282347282347,14.629477412785677,0.40266333571572244,-0.10327441267003674,0.0021645021645021645,1.1114565529174416,1.889817961541355,0.22416200433696512,14,0,0.0,0.008903292934595807,,,Draw,{},,,Draw,{},,,Draw,{}
anshumansahu12_prediction-of-purchased-car__Social_Network_Ads.csv,400,5,0,0,0.9999999999995,0.0,0.0,0.2,0.8,3940330.0675,34160.86083047824,0.320978364486412,-0.9686190747036428,0.0,1.5451938879687002,2.1921160771375323,0.5095754664168591,5,0,0.2,-0.0010536312080685738,,,Draw,{},,,Draw,{},,,Draw,{}
