dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,step1_acc_RF,step2_acc_RF,optimized_RF,improvement_RF,strategy_RF,best_step_order_RF,baseline_KNN,step1_acc_KNN,step2_acc_KNN,optimized_KNN,improvement_KNN,strategy_KNN,best_step_order_KNN,baseline_NB,step1_acc_NB,step2_acc_NB,optimized_NB,improvement_NB,strategy_NB,best_step_order_NB
adult-income-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,0.8557,0.8556570742308719,0.8556570742308719,0.8556570742308719,-4.2925769128121516e-05,baseline,"['discretize', 'features']",0.7759,0.8211784853852295,0.8192949168073547,0.8211784853852295,0.045278485385229494,discretize_first,"['discretize', 'features']",0.7948,0.8069284873596647,0.8079317319228873,0.8079317319228873,0.013131731922887302,features_first,"['features', 'discretize']"
alhassanabdelglil_classification__Dataset_for_Classification.csv,1470,33,0,0,0.9999999999999795,0.0,0.0,0.24242424242424243,0.7575757575757576,913.1400544217687,1666.938044057189,0.5346378016337747,0.14912164382509102,0.002993197278911565,1.4763706609557183,2.301499484847356,0.31580182361981174,32,0,0.09090909090909091,0.009836044675200637,0.8551,0.8551020408163265,0.8551020408163265,0.8551020408163265,2.040816326487338e-06,Draw,"['discretize', 'features']",0.8224,0.8353741496598639,0.8353741496598639,0.8353741496598639,0.012974149659863876,Draw,"['discretize', 'features']",0.802,0.8482993197278912,0.8387755102040816,0.8482993197278912,0.04629931972789114,discretize_first,"['discretize', 'features']"
burak3ergun_loan-data-set__loan_data_set.csv,614,13,149,0,0.9813329992481857,0.3076923076923077,0.0,0.6153846153846154,0.07692307692307693,1502.7918884316891,2693.3730667667496,6.998371623619912,72.14770844976361,0.013029315960912053,1.1222558223462458,6.41999492814714,2.4291239237217117,13,0,0.07692307692307693,0.09217967255358811,0.6224,0.8094850948509485,0.8094850948509485,0.8094850948509485,0.1870850948509486,Draw,"['discretize', 'features']",0.6108,0.8094850948509485,0.8094850948509485,0.8094850948509485,0.19868509485094854,Draw,"['discretize', 'features']",0.79,0.8094850948509485,0.8094850948509485,0.8094850948509485,0.019485094850948514,Draw,"['discretize', 'features']"
alamjane61_titanic-train__train.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,0.8148,0.8148148148148149,0.8148148148148149,0.8148148148148149,1.481481481491187e-05,Draw,"['discretize', 'features']",0.6128,0.8002244668911335,0.797979797979798,0.8002244668911335,0.18742446689113346,discretize_first,"['discretize', 'features']",0.771,0.7867564534231201,0.7867564534231201,0.7867564534231201,0.015756453423120043,Draw,"['discretize', 'features']"
cities_titanic123__ChanDarren_RaiTaran_Lab2a.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,0.8148,0.8148148148148149,0.8148148148148149,0.8148148148148149,1.481481481491187e-05,Draw,"['discretize', 'features']",0.6128,0.7934904601571269,0.7957351290684623,0.7957351290684623,0.18293512906846232,features_first,"['features', 'discretize']",0.771,0.7867564534231201,0.7867564534231201,0.7867564534231201,0.015756453423120043,Draw,"['discretize', 'features']"
chiranjeevbit_bank-details__bank.csv,10000,21,0,0,0.9999999999999953,0.23809523809523808,0.0,0.47619047619047616,0.2857142857142857,589.5779608636363,90.03266926717417,0.7844270827957072,10.347645417792608,0.009945454545454547,1.0343082582574592,2.063685572803328,0.3494385395447836,21,0,0.0,0.050866506132889594,0.9123,0.9123045457795208,0.9123045457795208,0.9123045457795208,4.5457795208037055e-06,Draw,"['discretize', 'features']",0.9036,0.9036369585429297,0.9036369585429297,0.9036369585429297,3.695854292973255e-05,Draw,"['discretize', 'features']",0.8466,0.9052393829284942,0.9043653083459201,0.9052393829284942,0.05863938292849413,discretize_first,"['discretize', 'features']"
ajay1735_hmeq-data__hmeq.csv,5960,13,5271,0,0.9319695405265754,0.6923076923076923,0.0,0.15384615384615385,0.15384615384615385,17671.88089620871,20569.316411611657,1.7636046903757538,3.5937991526207664,0.012812690665039657,1.0179245928732326,1.7496063783904616,0.23974231306487143,13,0,0.07692307692307693,0.07280437263006842,0.6385,0.8437936550654109,0.8437936550654109,0.8437936550654109,0.20529365506541097,Draw,"['discretize', 'features']",0.6812,0.8115753404176492,0.7946349999400265,0.8115753404176492,0.1303753404176492,discretize_first,"['discretize', 'features']",0.8154,0.8261756975898898,0.8261756975898898,0.8261756975898898,0.010775697589889832,Draw,"['discretize', 'features']"
adult-census-income__adult.csv,10000,15,0,2,0.9999999999999934,0.0,0.0,0.6,0.4,32271.305999999997,41913.786838404485,1.7247216498610414,9.286060659777037,0.010566666666666669,1.1922759975523616,2.4008352326817346,0.3699172311457278,15,0,0.0,0.07182847851797629,0.8212,0.8211970939541354,0.8211970939541354,0.8211970939541354,-2.906045864614626e-06,baseline,"['discretize', 'features']",0.7343,0.8051045380654743,0.8073462707857765,0.8073462707857765,0.07304627078577652,features_first,"['features', 'discretize']",0.772,0.7792761221845721,0.777678251860368,0.7792761221845721,0.007276122184572076,discretize_first,"['discretize', 'features']"
agirusampath_adult-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,0.8557,0.8556570742308719,0.8556570742308719,0.8556570742308719,-4.2925769128121516e-05,baseline,"['discretize', 'features']",0.7759,0.819520099274107,0.8192949168073547,0.819520099274107,0.04362009927410693,discretize_first,"['discretize', 'features']",0.7948,0.8079317319228873,0.8036731075011893,0.8079317319228873,0.013131731922887302,discretize_first,"['discretize', 'features']"
bank-marketing__bank.csv,10000,17,0,0,0.9999999999999942,0.0,0.0,0.5882352941176471,0.4117647058823529,292.37867142857147,1177.7361988207583,3.7969362306039107,44.65953797519295,0.014,0.9915229850635389,2.2814264505328423,0.4742873000133494,17,0,0.0,0.07297166365248059,0.8065,0.8064890108355272,0.8064890108355272,0.8064890108355272,-1.098916447284104e-05,baseline,"['discretize', 'features']",0.7333,0.733292178751039,0.733292178751039,0.733292178751039,-7.821248960926397e-06,baseline,"['discretize', 'features']",0.7328,0.73284605248329,0.73284605248329,0.73284605248329,4.605248329003775e-05,Draw,"['discretize', 'features']"
