dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,optimized_RF,improvement_RF,strategy_RF,config_RF,baseline_KNN,optimized_KNN,improvement_KNN,strategy_KNN,config_KNN,baseline_NB,optimized_NB,improvement_NB,strategy_NB,config_NB
adult-income-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,0.8638550516941345,0.8556570742308719,-0.008197977463262562,baseline,"rebalance: None
features: None",0.7828846350701197,0.8033456329338032,0.020460997863683494,rebalance_first,"rebalance: None
features: SelectKBest(k=3)",0.7993653393387246,0.8079317319228873,0.008566392584162696,features_first,"features: SelectKBest(k=4)
rebalance: None"
alhassanabdelglil_classification__Dataset_for_Classification.csv,1470,33,0,0,0.9999999999999795,0.0,0.0,0.24242424242424243,0.7575757575757576,913.1400544217687,1666.938044057189,0.5346378016337747,0.14912164382509102,0.002993197278911565,1.4763706609557183,2.301499484847356,0.31580182361981174,32,0,0.09090909090909091,0.009836044675200637,0.8673469387755102,0.8666666666666667,-0.0006802721088434716,baseline,"features: None
rebalance: SMOTE(k_neighbors=5)",0.8537414965986394,0.8387755102040816,-0.014965986394557818,baseline,"rebalance: SMOTE(k_neighbors=5)
features: SelectKBest(k=1)",0.8333333333333334,0.845578231292517,0.012244897959183598,rebalance_first,"rebalance: None
features: SelectKBest(k=3)"
burak3ergun_loan-data-set__loan_data_set.csv,614,13,149,0,0.9813329992481857,0.3076923076923077,0.0,0.6153846153846154,0.07692307692307693,1502.7918884316891,2693.3730667667496,6.998371623619912,72.14770844976361,0.013029315960912053,1.1222558223462458,6.41999492814714,2.4291239237217117,13,0,0.07692307692307693,0.09217967255358811,0.7723577235772358,0.8094850948509485,0.037127371273712795,rebalance_first,"rebalance: SMOTE(k_neighbors=7)
features: SelectKBest(k=1)",0.6178861788617886,0.8094850948509485,0.1915989159891599,rebalance_first,"rebalance: None
features: SelectKBest(k=1)",0.7886178861788617,0.8094850948509485,0.0208672086720868,rebalance_first,"rebalance: SMOTE(k_neighbors=5)
features: SelectKBest(k=1)"
alamjane61_titanic-train__train.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,0.8379888268156425,0.8249158249158249,-0.013073001899817527,baseline,"rebalance: SMOTE(k_neighbors=6)
features: None",0.6703910614525139,0.7901234567901234,0.11973239533760949,rebalance_first,"rebalance: SMOTE(k_neighbors=5)
features: SelectKBest(k=2)",0.8044692737430168,0.7867564534231201,-0.017712820319896738,baseline,"rebalance: SMOTE(k_neighbors=6)
features: SelectKBest(k=1)"
cities_titanic123__ChanDarren_RaiTaran_Lab2a.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,0.8379888268156425,0.8249158249158249,-0.013073001899817527,baseline,"rebalance: SMOTE(k_neighbors=5)
features: None",0.6703910614525139,0.7867564534231201,0.11636539197060614,rebalance_first,"rebalance: SMOTE(k_neighbors=5)
features: SelectKBest(k=2)",0.8044692737430168,0.7867564534231201,-0.017712820319896738,baseline,"rebalance: None
features: SelectKBest(k=1)"
chiranjeevbit_bank-details__bank.csv,10000,21,0,0,0.9999999999999953,0.23809523809523808,0.0,0.47619047619047616,0.2857142857142857,589.5779608636363,90.03266926717417,0.7844270827957072,10.347645417792608,0.009945454545454547,1.0343082582574592,2.063685572803328,0.3494385395447836,21,0,0.0,0.050866506132889594,0.9102937606215101,0.9123045457795208,0.002010785158010675,rebalance_first,"rebalance: None
features: None",0.9025248846807478,0.9036369585429297,0.0011120738621819282,rebalance_first,"rebalance: None
features: None",0.8481427530954115,0.9039283108426065,0.05578555774719496,features_first,"features: FeatureUnion(pca__n_components=3, selectkbest__k=3)
rebalance: None"
ajay1735_hmeq-data__hmeq.csv,5960,13,5271,0,0.9319695405265754,0.6923076923076923,0.0,0.15384615384615385,0.15384615384615385,17671.88089620871,20569.316411611657,1.7636046903757538,3.5937991526207664,0.012812690665039657,1.0179245928732326,1.7496063783904616,0.23974231306487143,13,0,0.07692307692307693,0.07280437263006842,0.9203020134228188,0.8283556950321432,-0.09194631839067557,baseline,"rebalance: None
features: FeatureUnion(pca__n_components=1, selectkbest__k=4)",0.8087248322147651,0.8201361045520286,0.011411272337263467,features_first,"features: SelectKBest(k=2)
rebalance: NearMiss(n_neighbors=3)",0.8045302013422819,0.8246657148605919,0.02013551351831,rebalance_first,"rebalance: SMOTE(k_neighbors=6)
features: FeatureUnion(pca__n_components=1, selectkbest__k=2)"
adult-census-income__adult.csv,10000,15,0,2,0.9999999999999934,0.0,0.0,0.6,0.4,32271.305999999997,41913.786838404485,1.7247216498610414,9.286060659777037,0.010566666666666669,1.1922759975523616,2.4008352326817346,0.3699172311457278,15,0,0.0,0.07182847851797629,0.8532166436358053,0.8211970939541354,-0.03201954968166987,baseline,"rebalance: None
features: None",0.7782895746967603,0.7901172484464752,0.01182767374971494,rebalance_first,"rebalance: None
features: SelectKBest(k=4)",0.7945647167204053,0.777678251860368,-0.01688646486003731,baseline,"features: SelectKBest(k=4)
rebalance: None"
agirusampath_adult-dataset__adult.csv,10000,15,0,1,0.9999999999999934,0.0,0.0,0.6,0.4,31621.999750000003,42314.49806583768,2.9495800662573184,27.222627938670996,0.014716666666666668,1.1405156664198053,2.4467977727918204,0.4414062639860251,15,0,0.0,0.09657158858437978,0.8638550516941345,0.8556570742308719,-0.008197977463262562,baseline,"rebalance: None
features: None",0.7828846350701197,0.8033456329338032,0.020460997863683494,features_first,"features: SelectKBest(k=3)
rebalance: None",0.7993653393387246,0.8079317319228873,0.008566392584162696,rebalance_first,"rebalance: None
features: SelectKBest(k=4)"
bank-marketing__bank.csv,10000,17,0,0,0.9999999999999942,0.0,0.0,0.5882352941176471,0.4117647058823529,292.37867142857147,1177.7361988207583,3.7969362306039107,44.65953797519295,0.014,0.9915229850635389,2.2814264505328423,0.4742873000133494,17,0,0.0,0.07297166365248059,0.8351992834751455,0.8141037644522661,-0.021095519022879428,baseline,"features: None
rebalance: SMOTE(k_neighbors=6)",0.748320644872369,0.7336505053657484,-0.01467013950662066,baseline,"features: None
rebalance: SMOTE(k_neighbors=6)",0.7501119570085087,0.73284605248329,-0.0172659045252187,baseline,"rebalance: None
features: None"
