index,timestamp_utc,dataset_id,dataset_name,model_type,param_set_id,param_json,candidate_accuracies_json,candidate_ranking_json,best_accuracy,best_candidate,best_candidate_id,accuracy_ranking,status,error_message
11,2025-11-12T11:38:49.097879,1,22000-scotch-whisky-reviews__scotch_review.csv,RF,1,"{""n_estimators"": 50, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": ""sqrt""}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.531820204717401}","[""1=2=3=4=5=6=7"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7>8,SUCCESS,
12,2025-11-12T11:40:39.231129,1,22000-scotch-whisky-reviews__scotch_review.csv,RF,2,"{""n_estimators"": 100, ""criterion"": ""entropy"", ""max_depth"": 10, ""max_features"": ""log2""}","{""1"": 0.6016911437472184, ""2"": 0.8081886960391634, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""3=4=5=6=7=8"", ""2"", ""1""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""rebalance"", ""discretize"", ""features""]",3.0,3=4=5=6=7=8>2>1,SUCCESS,
13,2025-11-12T11:44:28.391663,1,22000-scotch-whisky-reviews__scotch_review.csv,RF,3,"{""n_estimators"": 200, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": 0.3}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.3333333333333333, ""4"": 0.8095238095238094, ""5"": 0.6898086337338674, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""1=2=4=6=7=8"", ""5"", ""3""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=4=6=7=8>5>3,SUCCESS,
14,2025-11-12T11:50:02.032731,1,22000-scotch-whisky-reviews__scotch_review.csv,RF,4,"{""n_estimators"": 150, ""criterion"": ""entropy"", ""max_depth"": 15, ""max_features"": 0.5}","{""1"": 0.48019581664441474, ""2"": 0.8095238095238094, ""3"": 0.46461949265687585, ""4"": 0.8081886960391634, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.514018691588785}","[""2=5=6=7"", ""4"", ""8"", ""1"", ""3""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""rebalance"", ""discretize""]",2.0,2=5=6=7>4>8>1>3,SUCCESS,
15,2025-11-12T11:56:47.501998,1,22000-scotch-whisky-reviews__scotch_review.csv,RF,5,"{""n_estimators"": 100, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": null}","{""1"": 0.8095238095238094, ""2"": 0.7067200712060525, ""3"": 0.6453048509123276, ""4"": 0.7116154873164219, ""5"": 0.3146417445482866, ""6"": 0.8081886960391634, ""7"": 0.6786826880284824, ""8"": 0.10146862483311081}","[""1"", ""6"", ""4"", ""2"", ""7"", ""3"", ""5"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1>6>4>2>7>3>5>8,SUCCESS,
16,2025-11-12T12:03:55.019866,1,22000-scotch-whisky-reviews__scotch_review.csv,SVM,1,"{""C"": 0.1, ""kernel"": ""linear"", ""gamma"": ""scale"", ""max_iter"": 500}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""1=2=3=4=5=6=7=8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7=8,SUCCESS,
17,2025-11-12T12:13:18.520973,1,22000-scotch-whisky-reviews__scotch_review.csv,SVM,2,"{""C"": 1.0, ""kernel"": ""rbf"", ""gamma"": ""auto"", ""max_iter"": 500}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""1=2=3=4=5=6=7=8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7=8,SUCCESS,
18,2025-11-12T12:20:53.554469,1,22000-scotch-whisky-reviews__scotch_review.csv,SVM,3,"{""C"": 10.0, ""kernel"": ""poly"", ""degree"": 2, ""gamma"": 0.1, ""max_iter"": 500}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.8095238095238094}","[""1=2=3=4=5=6=7=8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7=8,SUCCESS,
19,2025-11-12T12:30:45.204700,1,22000-scotch-whisky-reviews__scotch_review.csv,SVM,4,"{""C"": 0.5, ""kernel"": ""sigmoid"", ""gamma"": ""scale"", ""max_iter"": 500}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.7961726746773476}","[""1=2=3=4=5=6=7"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7>8,SUCCESS,
20,2025-11-12T12:36:54.426239,1,22000-scotch-whisky-reviews__scotch_review.csv,SVM,5,"{""C"": 100.0, ""kernel"": ""poly"", ""degree"": 3, ""gamma"": ""auto"", ""max_iter"": 500}","{""1"": 0.8095238095238094, ""2"": 0.8095238095238094, ""3"": 0.8095238095238094, ""4"": 0.8095238095238094, ""5"": 0.8095238095238094, ""6"": 0.8095238095238094, ""7"": 0.8095238095238094, ""8"": 0.46461949265687585}","[""1=2=3=4=5=6=7"", ""8""]",0.8095238095238094,"[""impute"", ""encode"", ""normalize"", ""features"", ""discretize"", ""rebalance""]",1.0,1=2=3=4=5=6=7>8,SUCCESS,
