Date&Time,OverSpeed,Location,Duration_overspeed,speed_limit_seconds,over_speed_distance_travelled,Target
21-07-2018 08:24,64,"Kodambakkam - Mumbai Highwayy,TamilNadu,India,631551",151,17.77777778,2684.444444,unsafe
21-07-2018 13:04,61,"Panapakkam-Walaja Rd,Vellore,Tamil Nadu,India,631052",11,16.94444444,186.3888889,unsafe
21-07-2018 13:23,61,"NH4,Dhamal,TamilNadu,India,631551",11,16.94444444,186.3888889,unsafe
21-07-2018 13:25,67,"M.B.T. Road,Kanchipuram,Tamil Nadu,India,631551",141,18.61111111,2624.166667,unsafe
21-07-2018 13:29,67,"NH48,Kilambi,Kanchipuram,Tamil Nadu,India,631502",321,18.61111111,5974.166667,unsafe
21-07-2018 13:47,63,"NH48,Enathur,Kanchipuram,Tamil Nadu,India,631561",41,17.5,717.5,unsafe
21-07-2018 13:48,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631552",1,16.94444444,16.94444444,safe
21-07-2018 13:50,62,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",11,17.22222222,189.4444444,unsafe
21-07-2018 13:53,61,"AH45,Illuppapattu,Kanchipuram,Tamil Nadu,India,631561",151,16.94444444,2558.611111,unsafe
21-07-2018 13:56,62,"Kanchipuram - Chennai Rd,Chinnaiyan Chatram,Neervalur,TamilNadu,India,631561",321,17.22222222,5528.333333,unsafe
21-07-2018 14:00,62,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",31,17.22222222,533.8888889,unsafe
21-07-2018 14:02,63,"Kanchipuram - Chennai Rd,Nandimedu,TamilNadu,India,602106",21,17.5,367.5,unsafe
21-07-2018 14:04,65,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",41,18.05555556,740.2777778,unsafe
21-07-2018 14:05,62,"NH48,Molasur,Kanchipuram,Tamil Nadu,India,602106",1,17.22222222,17.22222222,safe
21-07-2018 15:41,62,"NH48,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",21,17.22222222,361.6666667,unsafe
21-07-2018 15:43,61,"NH48,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",21,16.94444444,355.8333333,unsafe
21-07-2018 15:43,61,"AH45,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
21-07-2018 15:45,63,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",31,17.5,542.5,unsafe
21-07-2018 15:47,61,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",21,16.94444444,355.8333333,unsafe
21-07-2018 15:48,62,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,602108",21,17.22222222,361.6666667,unsafe
21-07-2018 15:50,61,"Kanchipuram - Chennai Rd,Neervalur,TamilNadu,India,631561",121,16.94444444,2050.277778,unsafe
21-07-2018 15:51,61,"Kanchipuram - Chennai Rd,Attuputhur,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
21-07-2018 15:51,62,"Chennai - Bengaluru Hwy,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",1,17.22222222,17.22222222,safe
21-07-2018 15:56,61,"NH48,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
21-07-2018 15:56,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",1,16.94444444,16.94444444,safe
21-07-2018 15:57,61,"Kanchipuram - Chennai Rd,Seeyati,TamilNadu,India,631552",1,16.94444444,16.94444444,safe
21-07-2018 16:26,62,"NH 48,Kanchipuram,Tamil Nadu,India,631551",121,17.22222222,2083.888889,unsafe
21-07-2018 22:04,61,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",1,16.94444444,16.94444444,safe
21-07-2018 23:44,61,"Kodambakkam - Mumbai Highwayy,Santhavelur,TamilNadu,India,602106",11,16.94444444,186.3888889,safe
22-07-2018 07:48,61,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",1,16.94444444,16.94444444,safe
22-07-2018 07:49,61,"AH45,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
22-07-2018 07:50,61,"NH48,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
22-07-2018 07:51,62,"Kanchipuram - Chennai Rd,Nandimedu,TamilNadu,India,602106",41,17.22222222,706.1111111,safe
22-07-2018 07:52,61,"AH45,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
22-07-2018 07:53,62,"Kanchipuram - Chennai Rd,TamilNadu,India,602106",21,17.22222222,361.6666667,safe
22-07-2018 07:53,61,"NH48,Pillai Chattiram,Kanchipuram,Tamil Nadu,India,602108",1,16.94444444,16.94444444,safe
22-07-2018 07:58,61,"AH45,Neervalur,Kanchipuram,Tamil Nadu,India,631561",41,16.94444444,694.7222222,safe
22-07-2018 08:00,61,"MDR791,Attuputhur,Kanchipuram,Tamil Nadu,India,631561",11,16.94444444,186.3888889,safe
22-07-2018 08:03,61,"Kanchipuram - Chennai Rd,TamilNadu,India,631561",231,16.94444444,3914.166667,unsafe
22-07-2018 08:05,61,"NH48,Seeyati,Kanchipuram,Tamil Nadu,India,631552",1,16.94444444,16.94444444,safe
23-07-2018 05:21,61,"NH48,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
23-07-2018 05:22,61,"Andal Nagar,Baluchetty Chatram,Kanchipuram,Tamil Nadu,India,631551",1,16.94444444,16.94444444,safe
23-07-2018 05:23,61,"NH4,Sirunaiperugal,TamilNadu,India,631551",21,16.94444444,355.8333333,safe
23-07-2018 05:24,63,"NH48,Sirunaiperugal,Kanchipuram,Tamil Nadu,India,631502",31,17.5,542.5,unsafe
23-07-2018 05:47,61,"AH45,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
23-07-2018 05:56,61,"AH45,Keeranallur,Kanchipuram,Tamil Nadu,India,602108",11,16.94444444,186.3888889,safe
23-07-2018 06:02,61,"NH4,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
23-07-2018 13:14,61,"NH4,Dhamal,TamilNadu,India,631551",11,16.94444444,186.3888889,safe
23-07-2018 13:20,61,"NH4,Sirunaiperugal,TamilNadu,India,631502",21,16.94444444,355.8333333,safe
23-07-2018 13:39,61,"NH48,Enathur,Kanchipuram,Tamil Nadu,India,631561",1,16.94444444,16.94444444,safe
23-07-2018 13:48,62,"NH48,Neervalur,Kanchipuram,Tamil Nadu,India,631561",11,17.22222222,189.4444444,safe
23-07-2018 13:59,62,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",11,17.22222222,189.4444444,safe
23-07-2018 15:45,63,"Kanchipuram - Chennai Rd,Molasur,TamilNadu,India,602106",31,17.5,542.5,unsafe
23-07-2018 15:46,62,"NH48,Santhavelur,Kanchipuram,Tamil Nadu,India,602106",21,17.22222222,361.6666667,safe
23-07-2018 15:48,62,"NH48,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",11,17.22222222,189.4444444,safe
23-07-2018 15:48,61,"AH45,Nandimedu,Kanchipuram,Tamil Nadu,India,602106",1,16.94444444,16.94444444,safe
23-07-2018 15:49,61,"AH45,Kanchipuram,Tamil Nadu,India,602106",11,16.94444444,186.3888889,safe
23-07-2018 15:50,61,"Kanchipuram - Chennai Rd,Pillai Chattiram,TamilNadu,India,602108",1,16.94444444,16.94444444,safe
23-07-2018 15:52,62,"AH45,Jambodai,Kanchipuram,Tamil Nadu,India,602108",41,17.22222222,706.1111111,safe
