dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,step1_acc_RF,step2_acc_RF,optimized_RF,improvement_RF,strategy_RF,best_step_order_RF,baseline_KNN,step1_acc_KNN,step2_acc_KNN,optimized_KNN,improvement_KNN,strategy_KNN,best_step_order_KNN,baseline_NB,step1_acc_NB,step2_acc_NB,optimized_NB,improvement_NB,strategy_NB,best_step_order_NB
adult-census-income__adult.csv,10000,15,0,2,0.9999999999999934,0.0,0.0,0.6,0.4,32271.305999999997,41913.786838404485,1.7247216498610414,9.286060659777037,0.010566666666666669,1.1922759975523616,2.4008352326817346,0.3699172311457278,15,0,0.0,0.07182847851797629,0.8212,0.8211970939541354,0.8211970939541354,0.8211970939541354,-2.906045864614626e-06,baseline,"['discretize', 'features']",0.7343,0.8066092747458792,0.8074692293803745,0.8074692293803745,0.07316922938037451,ambiguous,"['features', 'discretize']",0.772,0.788642962078741,0.777678251860368,0.788642962078741,0.01664296207874094,ambiguous,"['discretize', 'features']"
aashnaprasad_heart-disease-detection-dataset__datasets_33180_43520_heart.csv,303,14,0,1,0.9999999999997642,0.07142857142857142,0.0,0.0,0.9285714285714286,42.18434700612919,14.601099749666268,0.36373659745345177,0.08548267029100379,0.003771805752003772,1.1162379625577574,1.896440728650816,0.2214082934413397,14,0,0.0,0.021817852305447395,0.8284,0.8283828382838284,0.8283828382838284,0.8283828382838284,-1.7161716171609775e-05,baseline,"['discretize', 'features']",0.6304,0.8118811881188118,0.811881188118812,0.811881188118812,0.1814811881188121,ambiguous,"['features', 'discretize']",0.8053,0.8052805280528054,0.8217821782178217,0.8217821782178217,0.01648217821782172,ambiguous,"['features', 'discretize']"
adammaus_predicting-churn-for-bank-customers__Churn_Modelling.csv,10000,14,0,0,0.9999999999999929,0.14285714285714285,0.0,0.21428571428571427,0.6428571428571429,1443019.5105880909,29887.788580147335,0.18795009617779035,-0.7000423538481398,0.0018272727272727273,1.8863003426782805,7.434633869260355,2.842906237353707,14,0,0.21428571428571427,-0.004602665266873364,0.639,0.8197002363703677,0.8572998571602811,0.8572998571602811,0.2182998571602811,ambiguous,"['features', 'discretize']",0.761,0.8145997563163635,0.8406999668173176,0.8406999668173176,0.07969996681731761,ambiguous,"['features', 'discretize']",0.7858,0.8219011463233906,0.8277018163723991,0.8277018163723991,0.04190181637239909,ambiguous,"['features', 'discretize']"
absenteeismatwork__Absenteeism_at_work.csv,740,15,0,34,0.9999999999999098,0.06666666666666667,0.0,0.0,0.9333333333333333,50.067186846846845,18.050799041232516,0.8264917045729113,3.453891184358942,0.0081981981981982,1.5969565481394208,2.2567679487624175,0.4000605058895534,15,0,0.0,0.01998751577875512,0.3986,0.4567218546679394,0.4567218546679394,0.4567218546679394,0.0581218546679394,Draw,"['discretize', 'features']",0.3041,0.4338237714360949,0.4338237714360949,0.4338237714360949,0.12972377143609493,Draw,"['discretize', 'features']",0.2622,0.37570082178554576,0.3810989324468143,0.3810989324468143,0.11889893244681432,ambiguous,"['features', 'discretize']"
abalone-dataset__abalone.csv,4177,9,0,0,0.9999999999999735,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,1.576576041417285,1.0870017828011014,0.6818404482316658,9.932008017979111,0.0059851568111084505,1.5492995158153902,1.9038079238296417,0.17160744871662453,9,0,0.0,0.04889968011167162,0.2504,0.25305406342055103,0.2504218547581916,0.25305406342055103,0.0026540634205510227,ambiguous,"['discretize', 'features']",0.2358,0.2425221344819335,0.24419872350257033,0.24419872350257033,0.008398723502570316,ambiguous,"['features', 'discretize']",0.2325,0.2628765406122017,0.2602414095656168,0.2628765406122017,0.030376540612201713,ambiguous,"['discretize', 'features']"
abhinavralhan_titanic__train.csv,891,12,866,0,0.9190048634492219,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667,73.07148679229267,94.73036469229187,1.8435165499526398,9.407175918133808,0.01074234407567741,2.3142699148756587,6.792344427470811,5.018840666898421,12,0,0.16666666666666666,0.036308274911854586,0.8148,0.8148148148148149,0.8148148148148149,0.8148148148148149,1.481481481491187e-05,Draw,"['discretize', 'features']",0.6128,0.8002244668911335,0.8002244668911335,0.8002244668911335,0.18742446689113346,Draw,"['discretize', 'features']",0.771,0.7867564534231201,0.7867564534231201,0.7867564534231201,0.015756453423120043,Draw,"['discretize', 'features']"
