dataset,num_rows,num_cols,total_missing,duplicate_rows,density,numeric_ratio,category_ratio,object_ratio,int_ratio,mean_of_means,std_of_stds,skewness_avg,kurtosis_avg,outlier_ratio,avg_entropy,max_entropy,entropy_variance,computed_entropy_cols,has_time_series,high_cardinality_ratio,anomaly_score,baseline_RF,step1_acc_RF,step2_acc_RF,optimized_RF,improvement_RF,strategy_RF,best_step_order_RF,baseline_KNN,step1_acc_KNN,step2_acc_KNN,optimized_KNN,improvement_KNN,strategy_KNN,best_step_order_KNN,baseline_NB,step1_acc_NB,step2_acc_NB,optimized_NB,improvement_NB,strategy_NB,best_step_order_NB
johnsmith88_heart-disease-dataset__heart.csv,1025,14,0,723,0.9999999999999303,0.07142857142857142,0.0,0.0,0.9285714285714286,42.13298257839722,14.551601933672018,0.3558656524613616,0.038347265969822554,0.003902439024390244,1.1630470320888728,2.0142468400267295,0.2735874838289783,14,0,0.0,0.012575556350313306,0.9805,0.9834022168487363,0.9804782402405493,0.9834022168487363,0.002902216848736261,discretize_first,"['discretize', 'features']",0.7385,0.8829180314749075,0.8789936718629418,0.8829180314749075,0.1444180314749075,discretize_first,"['discretize', 'features']",0.8234,0.8292517706779167,0.8233638021413912,0.8292517706779167,0.005851770677916646,discretize_first,"['discretize', 'features']"
somesh24_spambase__spambase_csv.csv,4601,58,0,391,0.9999999999999963,0.9482758620689655,0.0,0.0,0.05172413793103448,6.051516304551484,83.1122744684676,10.997658607086665,236.72190610731676,0.015491384931311783,0.227126178032797,0.9983764486974543,0.043936416381561025,58,0,0.0,0.1507647224457865,0.9285,0.9284855304126259,0.9284855304126259,0.9284855304126259,-1.4469587374055237e-05,baseline,"['discretize', 'features']",0.7692,0.8763150143461265,0.8791425662797847,0.8791425662797847,0.10994256627978471,features_first,"['features', 'discretize']",0.8246,0.8528357590349697,0.8808917136058998,0.8808917136058998,0.056291713605899796,features_first,"['features', 'discretize']"
wduckett_moneyball-mlb-stats-19622012__baseball.csv,1232,15,3600,0,0.8051948051947616,0.4666666666666667,0.0,0.13333333333333333,0.4,282.28599798746336,33.96961949080592,0.0635420803348729,0.6094230905355321,0.003746253746253746,1.7368812672030602,3.474574611966732,0.47518448317310524,15,0,0.0,0.06386771359784384,0.8832,0.9870057167724963,0.9229145649120726,0.9870057167724963,0.10380571677249628,discretize_first,"['discretize', 'features']",0.8742,0.96507230035804,0.9229145649120726,0.96507230035804,0.09087230035804006,discretize_first,"['discretize', 'features']",0.8467,0.9870057167724963,0.9870057167724963,0.9870057167724963,0.14030571677249626,Draw,"['discretize', 'features']"
vmalyi_run-or-walk__dataset.csv,10000,11,0,0,0.9999999999999909,0.5454545454545454,0.0,0.2727272727272727,0.18181818181818182,0.01687651875,0.5139520371965228,-0.0404056340121518,0.4202869469376857,0.0072,2.1189167745159336,9.210340371976176,5.7520605504715805,10,1,0.18181818181818182,0.034518393052329156,0.9135,0.9459743781638572,0.9281620963748759,0.9459743781638572,0.03247437816385723,discretize_first,"['discretize', 'features']",0.9043,0.951189591092704,0.9362778513889802,0.951189591092704,0.046889591092703964,discretize_first,"['discretize', 'features']",0.8486,0.9326095891675319,0.9378582821677849,0.9378582821677849,0.08925828216778486,features_first,"['features', 'discretize']"
utsav15_social-network-ads__Social_Network_Ads.csv,400,5,0,0,0.9999999999995,0.0,0.0,0.2,0.8,3940330.0675,34160.86083047824,0.320978364486412,-0.9686190747036428,0.0,1.5451938879687002,2.1921160771375323,0.5095754664168591,5,0,0.2,-0.0010536312080685738,0.8625,0.8775670519582538,0.8800172071970972,0.8800172071970972,0.01751720719709715,features_first,"['features', 'discretize']",0.7174,0.8673923615007668,0.8974675494706917,0.8974675494706917,0.1800675494706917,features_first,"['features', 'discretize']",0.8724,0.8924924250925822,0.8924924250925822,0.8924924250925822,0.020092425092582245,Draw,"['discretize', 'features']"
hmavrodiev_london-bike-sharing-dataset__london_merged.csv,10000,10,0,0,0.99999999999999,0.8,0.0,0.1,0.1,133.6108185185185,345.3069867091684,1.4998991642766568,8.731829714642396,0.005688888888888888,2.0718442763970675,9.210340371976176,6.020451118747592,10,0,0.1,0.025868429725765685,0.0273,0.06270794860059681,0.06270794860059681,0.06270794860059681,0.0354079486005968,Draw,"['discretize', 'features']",0.0075,0.04082893122902953,0.03899206800066405,0.04082893122902953,0.03332893122902953,discretize_first,"['discretize', 'features']",0.0465,0.06110040636483239,0.056391396391610095,0.06110040636483239,0.01460040636483239,discretize_first,"['discretize', 'features']"
paresh2047_uci-semcom__uci-secom.csv,1567,592,41951,0,0.9547778074820182,0.9966216216216216,0.0,0.0016891891891891893,0.0016891891891891893,87.06094788972827,387.1130432531682,3.0797887333723963,85.3318338179973,0.006716359085495365,0.9653849717275479,7.327389868354284,0.5685709266094549,476,0,0.21283783783783783,0.1029526644494374,0.9049,0.9336314952784921,0.9336314952784921,0.9336314952784921,0.02873149527849206,Draw,"['discretize', 'features']",0.933,0.9329929256744052,0.9336314952784921,0.9336314952784921,0.0006314952784920447,features_first,"['features', 'discretize']",0.4143,0.9336314952784921,0.9336314952784921,0.9336314952784921,0.5193314952784921,Draw,"['discretize', 'features']"
ajay1735_hmeq-data__hmeq.csv,5960,13,5271,0,0.9319695405265754,0.6923076923076923,0.0,0.15384615384615385,0.15384615384615385,17671.88089620871,20569.316411611657,1.7636046903757538,3.5937991526207664,0.012812690665039657,1.0179245928732326,1.7496063783904616,0.23974231306487143,13,0,0.07692307692307693,0.07280437263006842,0.6385,0.8275169095934585,0.8229873837547279,0.8275169095934585,0.18901690959345852,discretize_first,"['discretize', 'features']",0.6812,0.7926185360938751,0.7946349999400265,0.7946349999400265,0.11343499994002648,features_first,"['features', 'discretize']",0.8154,0.8261756975898898,0.8261756975898898,0.8261756975898898,0.010775697589889832,Draw,"['discretize', 'features']"
robjan_ph-recognition__ph-data.csv,653,4,0,206,0.9999999999996172,0.0,0.0,0.0,1.0,86.77411944869831,38.11654922841902,0.09459902175585351,-1.2816229005997364,0.0,2.1498795611587624,2.2481565732536417,0.006789495535688696,4,0,0.0,0.005283729767000772,0.7151,0.7151312729886272,0.7151312729886272,0.7151312729886272,3.1272988627262244e-05,Draw,"['discretize', 'features']",0.6784,0.6783917473470596,0.6875942445637623,0.6875942445637623,0.009194244563762277,features_first,"['features', 'discretize']",0.5743,0.5742541467608056,0.5742541467608056,0.5742541467608056,-4.585323919448214e-05,baseline,"['discretize', 'features']"
merishnasuwal_breast-cancer-prediction-dataset__Breast_cancer_data.csv,569,6,0,0,0.9999999999997071,0.8333333333333334,0.0,0.0,0.16666666666666666,130.16647568834213,141.29435122679737,0.6910178714951224,0.8745667595109333,0.00849443468072642,1.5542462260862495,1.8262925894270872,0.16756355748233864,6,0,0.3333333333333333,0.043515811889646004,0.9227,0.9227049104242088,0.9227049104242088,0.9227049104242088,4.910424208803832e-06,Draw,"['discretize', 'features']",0.8682,0.9226770630279403,0.9191590086326928,0.9226770630279403,0.05447706302794031,discretize_first,"['discretize', 'features']",0.8963,0.8963427086234104,0.8963427086234104,0.8963427086234104,4.2708623410381286e-05,Draw,"['discretize', 'features']"
